Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Standard Class,Consumer,United States,Pasadena,California,91104,West,Technology,Accessories,199.95,5,0,21.9945
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Art,41.86,7,0,14.2324
Second Class,Consumer,United States,Louisville,Kentucky,40214,South,Office Supplies,Storage,95.94,3,0,9594
Second Class,Consumer,United States,Louisville,Kentucky,40214,South,Furniture,Chairs,304.45,5,0,76.1125
Standard Class,Home Office,United States,Lubbock,Texas,79424,Central,Office Supplies,Binders,11364,3,0.8,-17046
Standard Class,Corporate,United States,Columbia,Missouri,65203,Central,Office Supplies,Art,29.68,7,0,11.5752
Standard Class,Corporate,United States,Columbia,Missouri,65203,Central,Technology,Accessories,47.53,7,0,16.1602
First Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Bookcases,183372,2,0.3,-36.6744
Standard Class,Consumer,United States,Johnson City,Tennessee,37604,South,Office Supplies,Art,4224,3,0.2,0.4752
Standard Class,Consumer,United States,Johnson City,Tennessee,37604,South,Office Supplies,Appliances,333056,2,0.2,29.1424
Standard Class,Consumer,United States,Johnson City,Tennessee,37604,South,Office Supplies,Paper,24896,4,0.2,7.78
Same Day,Consumer,United States,Houston,Texas,77041,Central,Technology,Accessories,159984,2,0.2,35.9964
Same Day,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Storage,46344,3,0.2,4.6344
Standard Class,Consumer,United States,Auburn,Alabama,36830,South,Furniture,Chairs,350.98,1,0,84.2352
Standard Class,Consumer,United States,Auburn,Alabama,36830,South,Office Supplies,Paper,13.08,2,0,6.0168
Standard Class,Consumer,United States,Auburn,Alabama,36830,South,Office Supplies,Storage,900.08,4,0,117.0104
Standard Class,Consumer,United States,San Bernardino,California,92404,West,Office Supplies,Binders,17568,2,0.2,6.3684
Standard Class,Consumer,United States,San Bernardino,California,92404,West,Office Supplies,Labels,14.62,2,0,6.8714
Standard Class,Consumer,United States,San Bernardino,California,92404,West,Office Supplies,Supplies,33.36,4,0,8.6736
Standard Class,Consumer,United States,San Bernardino,California,92404,West,Office Supplies,Paper,40.14,6,0,19.6686
First Class,Home Office,United States,Providence,Rhode Island,2908,East,Office Supplies,Storage,1606.23,9,0,481869
First Class,Home Office,United States,Providence,Rhode Island,2908,East,Office Supplies,Paper,17.04,3,0,7668
First Class,Home Office,United States,Providence,Rhode Island,2908,East,Office Supplies,Binders,49.53,3,0,23.7744
First Class,Home Office,United States,Providence,Rhode Island,2908,East,Furniture,Chairs,872.32,4,0,244.2496
Second Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Binders,239.12,5,0.2,77714
First Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Bookcases,141.96,2,0,39.7488
Second Class,Home Office,United States,Lancaster,California,93534,West,Office Supplies,Binders,33024,2,0.2,11.5584
Second Class,Home Office,United States,Lancaster,California,93534,West,Office Supplies,Binders,67136,4,0.2,23.4976
Standard Class,Corporate,United States,Leominster,Massachusetts,1453,East,Office Supplies,Binders,14.73,3,0,6.9231
Standard Class,Corporate,United States,Leominster,Massachusetts,1453,East,Office Supplies,Storage,104.9,5,0,25176
Standard Class,Corporate,United States,Leominster,Massachusetts,1453,East,Office Supplies,Binders,61.04,4,0,30.52
Standard Class,Corporate,United States,Leominster,Massachusetts,1453,East,Office Supplies,Paper,10.95,3,0,5.1465
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,9392,2,0.2,3.2872
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Art,9328,1,0.2,0.8162
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Binders,8.26,2,0,3.8822
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Furniture,Chairs,269.97,3,0,51.2943
Standard Class,Home Office,United States,Bozeman,Montana,59715,West,Office Supplies,Paper,29.04,3,0,13.9392
Standard Class,Home Office,United States,Bozeman,Montana,59715,West,Office Supplies,Labels,14.62,2,0,6.8714
Standard Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Paper,11952,3,0.2,4.3326
Standard Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Binders,4536,7,0.7,-3.3264
Standard Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Binders,9156,2,0.7,-6104
Standard Class,Home Office,United States,Peoria,Arizona,85345,West,Furniture,Furnishings,75.36,5,0.2,20724
Standard Class,Corporate,United States,San Diego,California,92105,West,Office Supplies,Binders,57504,6,0.2,20.1264
Standard Class,Corporate,United States,Lakewood,Ohio,44107,East,Office Supplies,Art,38864,7,0.2,7.7728
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Office Supplies,Paper,15552,3,0.2,5.4432
Standard Class,Corporate,United States,Perth Amboy,New Jersey,8861,East,Office Supplies,Appliances,162.64,2,0,45.5392
Standard Class,Corporate,United States,Perth Amboy,New Jersey,8861,East,Technology,Phones,597,3,0,280.59
Standard Class,Corporate,United States,Perth Amboy,New Jersey,8861,East,Office Supplies,Paper,55.48,1,0,26.6304
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,289.8,7,0.2,36225
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,2502,3,0.7,-2.0016
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,6.48,4,0.7,-4752
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Chairs,341488,8,0.3,-73176
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Art,11.12,5,0.2,834
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,25344,6,0.2,3.4848
Standard Class,Consumer,United States,Richmond,Indiana,47374,Central,Furniture,Furnishings,17.31,3,0,5193
First Class,Consumer,United States,Detroit,Michigan,48227,Central,Technology,Accessories,199.95,5,0,63984
First Class,Consumer,United States,Detroit,Michigan,48227,Central,Furniture,Chairs,1586.69,7,0,412.5394
First Class,Consumer,United States,Detroit,Michigan,48227,Central,Technology,Accessories,84.99,1,0,30.5964
First Class,Consumer,United States,Detroit,Michigan,48227,Central,Furniture,Tables,411.8,2,0,70006
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Fasteners,11.34,3,0,5.2164
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,80.3,5,0,20878
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Binders,15968,2,0.2,5.3892
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Paper,64.74,13,0,30.4278
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Binders,19296,3,0.2,6.03
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,405.64,4,0,12.1692
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Furniture,Chairs,146352,3,0.2,-9147
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Technology,Accessories,251.91,9,0,47.8629
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Art,12.39,3,0,3717
Standard Class,Consumer,United States,Pomona,California,91767,West,Technology,Accessories,199.96,4,0,69986
Standard Class,Consumer,United States,Pomona,California,91767,West,Furniture,Tables,710832,3,0.2,-97.7394
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,1941,1,0.7,-1294
Standard Class,Consumer,United States,Ontario,California,91761,West,Furniture,Chairs,283.92,5,0.2,-46137
Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Binders,7312,2,0.2,2.5592
Second Class,Home Office,United States,Brentwood,California,94513,West,Technology,Accessories,59.97,3,0,13.7931
Second Class,Home Office,United States,Brentwood,California,94513,West,Technology,Phones,761544,7,0.2,66.6351
Standard Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Furnishings,58.2,3,0,28518
First Class,Consumer,United States,Baltimore,Maryland,21215,East,Office Supplies,Paper,39.9,5,0,19.95
First Class,Consumer,United States,Baltimore,Maryland,21215,East,Office Supplies,Appliances,90.86,7,0,26.3494
First Class,Consumer,United States,Baltimore,Maryland,21215,East,Office Supplies,Paper,94.85,5,0,45528
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Paper,106232,7,0.2,37.1812
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Technology,Phones,111984,2,0.2,11.1984
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Furniture,Furnishings,7712,2,0.2,1.7352
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper,37.44,6,0,16848
Standard Class,Home Office,United States,Houston,Texas,77036,Central,Office Supplies,Labels,23.68,2,0.2,8.88
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Labels,122.12,4,0,56.1752
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Labels,18.45,5,0,8.6715
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Storage,324.9,5,0,38988
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,146.73,3,0,68.9631
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Fasteners,3.96,2,0,1.4652
Standard Class,Corporate,United States,Rancho Cucamonga,California,91730,West,Office Supplies,Labels,5.76,2,0,2.6496
Standard Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,26.55,3,0,13.0095
Standard Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Tables,310443,3,0.3,-48.7839
Standard Class,Home Office,United States,Moorhead,Minnesota,56560,Central,Furniture,Chairs,479.9,5,0,81583
Second Class,Consumer,United States,Farmington,New Mexico,87401,West,Office Supplies,Supplies,12.88,1,0,0.3864
Standard Class,Consumer,United States,Wilmington,North Carolina,28403,South,Office Supplies,Art,13.12,5,0.2,1476
Standard Class,Home Office,United States,Jackson,Mississippi,39212,South,Office Supplies,Binders,511.84,8,0,240.5648
Standard Class,Home Office,United States,Jackson,Mississippi,39212,South,Office Supplies,Art,91.96,4,0,25.7488
Standard Class,Home Office,United States,Jackson,Mississippi,39212,South,Office Supplies,Art,8.34,3,0,2.1684
Standard Class,Consumer,United States,Portland,Oregon,97206,West,Office Supplies,Storage,37.68,3,0.2,2355
Standard Class,Consumer,United States,Portland,Oregon,97206,West,Technology,Accessories,279944,7,0.2,80.4839
Standard Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Storage,636408,3,0.2,-15.9102
Standard Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Art,83168,4,0.2,9.3564
Same Day,Home Office,United States,Tucson,Arizona,85705,West,Furniture,Chairs,259136,4,0.2,-25.9136
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Paper,221.92,4,0,106.5216
Second Class,Corporate,United States,New York City,New York,10009,East,Technology,Accessories,26,2,0,11.7
Standard Class,Consumer,United States,Boynton Beach,Florida,33437,South,Office Supplies,Paper,15552,3,0.2,5.4432
Same Day,Corporate,United States,Mesquite,Texas,75150,Central,Office Supplies,Binders,876,1,0.8,-1.4016
Same Day,Consumer,United States,Redlands,California,92374,West,Office Supplies,Paper,19.98,1,0,9.3906
Same Day,Consumer,United States,Redlands,California,92374,West,Office Supplies,Binders,398352,3,0.2,124485
Same Day,Consumer,United States,Redlands,California,92374,West,Office Supplies,Art,5.04,3,0,1.26
Same Day,Consumer,United States,Redlands,California,92374,West,Office Supplies,Fasteners,17.45,5,0,8027
Same Day,Consumer,United States,Redlands,California,92374,West,Furniture,Chairs,323136,4,0.2,20196
Same Day,Consumer,United States,Redlands,California,92374,West,Office Supplies,Supplies,29.7,3,0,8019
Same Day,Consumer,United States,Redlands,California,92374,West,Technology,Phones,1295.84,4,0.2,145782
Same Day,Consumer,United States,Redlands,California,92374,West,Office Supplies,Storage,46.84,2,0,12.6468
Same Day,Consumer,United States,Redlands,California,92374,West,Furniture,Bookcases,425833,1,0.15,20.0392
Second Class,Consumer,United States,Rochester,New York,14609,East,Furniture,Tables,209.67,1,0.4,-13978
Standard Class,Consumer,United States,Stockton,California,95207,West,Office Supplies,Paper,159.88,7,0,73.5448
First Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Paper,5.28,1,0,2376
First Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Binders,895.92,5,0.2,302373
Standard Class,Consumer,United States,Ormond Beach,Florida,32174,South,Office Supplies,Binders,2808,3,0.7,-1.9656
First Class,Corporate,United States,Sunnyvale,California,94086,West,Furniture,Chairs,215976,3,0.2,-2.6997
Second Class,Home Office,United States,Lansing,Michigan,48911,Central,Furniture,Bookcases,241.96,2,0,41.1332
Second Class,Home Office,United States,Lansing,Michigan,48911,Central,Office Supplies,Labels,27.72,9,0,13.3056
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Envelopes,104.68,5,0.2,35.3295
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Technology,Phones,62958,7,0.4,9.4437
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Technology,Accessories,86376,3,0.2,1.0797
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,64944,3,0.2,6.4944
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Paper,20736,4,0.2,7.2576
Second Class,Corporate,United States,Dover,New Hampshire,3820,East,Office Supplies,Appliances,33.28,4,0,9.3184
Second Class,Corporate,United States,Dover,New Hampshire,3820,East,Office Supplies,Art,38.52,9,0,11.9412
Second Class,Corporate,United States,Dover,New Hampshire,3820,East,Furniture,Furnishings,139.86,7,0,60.1398
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,19.65,3,0,9039
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,152991,3,0.7,-122.3928
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Fasteners,10584,7,0.2,-2.3814
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,94.92,4,0.4,15.82
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Furniture,Furnishings,14.76,5,0.6,-11439
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Binders,3656,4,0.8,-5.8496
Same Day,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,146.82,3,0,73.41
Standard Class,Corporate,United States,Long Beach,New York,11561,East,Office Supplies,Binders,149544,9,0.2,50.4711
Standard Class,Corporate,United States,Long Beach,New York,11561,East,Office Supplies,Supplies,17.14,2,0,4.4564
Standard Class,Corporate,United States,Long Beach,New York,11561,East,Furniture,Tables,991764,3,0.4,-347.1174
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Paper,30.48,6,0.2,9906
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Technology,Phones,23988,2,0.4,-4.7976
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Fasteners,16688,7,0.2,5.4236
Standard Class,Corporate,United States,York,Pennsylvania,17403,East,Furniture,Chairs,422058,3,0.3,-18.0882
Standard Class,Corporate,United States,York,Pennsylvania,17403,East,Office Supplies,Binders,38088,4,0.7,-27.9312
Standard Class,Corporate,United States,York,Pennsylvania,17403,East,Office Supplies,Storage,254352,6,0.2,-50.8704
Standard Class,Consumer,United States,Concord,California,94521,West,Furniture,Furnishings,43.31,1,0,4331
Standard Class,Consumer,United States,New York City,New York,10035,East,Technology,Phones,84.95,5,0,22087
Standard Class,Consumer,United States,College Station,Texas,77840,Central,Furniture,Chairs,233058,3,0.3,-53.2704
Second Class,Consumer,United States,Saint Louis,Missouri,63116,Central,Technology,Accessories,111.79,7,0,43.5981
Standard Class,Consumer,United States,Quincy,Massachusetts,2169,East,Office Supplies,Paper,14.94,3,0,7.0218
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Binders,14.16,2,0.2,5133
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Furniture,Furnishings,22608,3,0.6,-10.1736
Second Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Fasteners,21.48,6,0,10.74
First Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Storage,501.81,3,0,0
First Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Storage,161.94,3,0,9.7164
Standard Class,Home Office,United States,Deltona,Florida,32725,South,Office Supplies,Art,17856,4,0.2,2.0088
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,8808,3,0.8,-14.9736
Same Day,Consumer,United States,Cincinnati,Ohio,45231,East,Furniture,Furnishings,79384,1,0.2,29769
Standard Class,Home Office,United States,Oakland,California,94601,West,Office Supplies,Art,34.58,1,0,10.0282
Standard Class,Home Office,United States,Manteca,California,95336,West,Office Supplies,Paper,314.55,3,0,150984
Standard Class,Consumer,United States,Laredo,Texas,78041,Central,Technology,Accessories,191976,3,0.2,23997
Standard Class,Consumer,United States,Laredo,Texas,78041,Central,Office Supplies,Paper,8288,2,0.2,3.0044
Standard Class,Consumer,United States,Laredo,Texas,78041,Central,Furniture,Furnishings,139.92,5,0.6,-150414
Standard Class,Consumer,United States,Laredo,Texas,78041,Central,Office Supplies,Art,15872,1,0.2,1.1904
Standard Class,Consumer,United States,Laredo,Texas,78041,Central,Office Supplies,Binders,6286,7,0.8,-11.0005
Second Class,Consumer,United States,Kent,Ohio,44240,East,Office Supplies,Art,14016,3,0.2,1752
Second Class,Consumer,United States,Kent,Ohio,44240,East,Technology,Accessories,71976,3,0.2,-8997
Second Class,Consumer,United States,Kent,Ohio,44240,East,Technology,Phones,107982,3,0.4,-26.9955
Standard Class,Corporate,United States,San Angelo,Texas,76903,Central,Furniture,Chairs,305312,2,0.3,-8.7232
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,19752,3,0.2,6.9132
Standard Class,Home Office,United States,Houston,Texas,77070,Central,Office Supplies,Binders,9264,3,0.8,-13896
Second Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,61792,4,0.2,6.1792
Standard Class,Home Office,United States,Salt Lake City,Utah,84106,West,Office Supplies,Paper,45.68,2,0,21.0128
Standard Class,Home Office,United States,Salt Lake City,Utah,84106,West,Office Supplies,Paper,60.12,9,0,28.8576
Standard Class,Home Office,United States,Salt Lake City,Utah,84106,West,Office Supplies,Binders,41.72,5,0.2,13.0375
Standard Class,Home Office,United States,Salt Lake City,Utah,84106,West,Office Supplies,Paper,71.6,8,0,32936
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,85232,7,0.2,30.8966
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Labels,44.4,3,0,22.2
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Chairs,442764,4,0.1,59.0352
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Machines,3999.95,5,0,1159.9855
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,199.95,5,0,21.9945
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Furnishings,63.68,8,0,28.0192
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Binders,54896,2,0.2,18.5274
Same Day,Consumer,United States,Huntsville,Alabama,35810,South,Technology,Accessories,29,2,0,7.25
Standard Class,Consumer,United States,Columbus,Indiana,47201,Central,Office Supplies,Envelopes,70.08,6,0,35.04
Standard Class,Consumer,United States,Columbus,Indiana,47201,Central,Furniture,Furnishings,121.3,2,0,25473
Standard Class,Consumer,United States,Columbus,Indiana,47201,Central,Technology,Phones,1454.49,9,0,378.1674
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Appliances,60.81,3,0,17.0268
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,153552,3,0.2,51.8238
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Appliances,65.34,3,0,22869
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,123.92,4,0,55764
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Appliances,35.1,3,0,12285
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Accessories,44.75,5,0,8.5025
Standard Class,Consumer,United States,Knoxville,Tennessee,37918,South,Office Supplies,Art,4704,2,0.2,0.4116
Standard Class,Consumer,United States,Montgomery,Alabama,36116,South,Office Supplies,Art,14.67,3,0,3.9609
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,15552,3,0.2,5.4432
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,5232,1,0.2,1.7004
Standard Class,Consumer,United States,Little Rock,Arkansas,72209,South,Furniture,Furnishings,22.2,6,0,9102
Standard Class,Consumer,United States,Little Rock,Arkansas,72209,South,Technology,Phones,881.93,7,0,229.3018
Standard Class,Home Office,United States,Seattle,Washington,98103,West,Office Supplies,Binders,6096,2,0.2,2.1336
Standard Class,Home Office,United States,Seattle,Washington,98103,West,Furniture,Furnishings,191.82,3,0,74.8098
Standard Class,Consumer,United States,Lancaster,Pennsylvania,17602,East,Furniture,Furnishings,20104,1,0.2,1.7591
Second Class,Home Office,United States,Bristol,Tennessee,37620,South,Office Supplies,Art,67.56,3,0.2,8445
Standard Class,Home Office,United States,Aurora,Illinois,60505,Central,Office Supplies,Binders,29932,7,0.8,-46.3946
Standard Class,Home Office,United States,Aurora,Illinois,60505,Central,Technology,Phones,38272,4,0.2,3.8272
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,16.52,4,0,7.5992
Second Class,Consumer,United States,Fairfield,Connecticut,6824,East,Technology,Phones,832.93,7,0,233.2204
Second Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,43.8,10,0,21024
First Class,Corporate,United States,Lincoln Park,Michigan,48146,Central,Office Supplies,Appliances,167292,6,0.1,29.7408
Standard Class,Consumer,United States,New York City,New York,10035,East,Furniture,Furnishings,27.42,1,0,11.2422
First Class,Consumer,United States,San Jose,California,95123,West,Office Supplies,Binders,1.44,1,0.2,504
First Class,Consumer,United States,San Jose,California,95123,West,Office Supplies,Binders,61776,13,0.2,20.8494
First Class,Consumer,United States,San Jose,California,95123,West,Office Supplies,Appliances,241.96,2,0,60.49
First Class,Consumer,United States,San Jose,California,95123,West,Furniture,Chairs,108608,4,0.2,9.5032
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Art,2816,2,0.2,0.9856
Standard Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Binders,9984,4,0.2,3.6192
Standard Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Storage,14.98,1,0,4.1944
Standard Class,Corporate,United States,San Francisco,California,94110,West,Technology,Phones,1145.6,4,0.2,100.24
Same Day,Consumer,United States,Marion,Ohio,43302,East,Technology,Phones,485.94,2,0.4,-89089
Same Day,Consumer,United States,Marion,Ohio,43302,East,Office Supplies,Art,37376,8,0.2,4672
Same Day,Consumer,United States,Marion,Ohio,43302,East,Furniture,Chairs,70686,1,0.3,-24.2352
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Paper,54816,3,0.2,17.8152
Second Class,Consumer,United States,Littleton,Colorado,80122,West,Furniture,Bookcases,72294,1,0.7,-98.8018
Standard Class,Corporate,United States,Austin,Texas,78745,Central,Office Supplies,Fasteners,2896,2,0.2,0.4706
Standard Class,Corporate,United States,Austin,Texas,78745,Central,Technology,Phones,124792,1,0.2,15599
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Tables,330588,1,0.4,-115.7058
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,673568,2,0.2,252588
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Appliances,52.98,2,0,14.8344
Standard Class,Consumer,United States,La Porte,Indiana,46350,Central,Furniture,Furnishings,526.45,5,0,31587
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Storage,228.92,5,0.2,14.3075
Second Class,Consumer,United States,Portland,Oregon,97206,West,Technology,Phones,319968,4,0.2,35.9964
Standard Class,Corporate,United States,Burlington,Vermont,5408,East,Technology,Accessories,205.03,7,0,67.6599
Second Class,Consumer,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Storage,190.86,2,0,11.4516
Second Class,Consumer,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Art,24.32,8,0,8.2688
Standard Class,Home Office,United States,Provo,Utah,84604,West,Office Supplies,Supplies,44.4,5,0,12432
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,44.4,2,0.6,-52.17
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,1016792,1,0.2,381297
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,38136,7,0.2,13.3476
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,494982,3,0.4,-115.4958
Standard Class,Home Office,United States,Pasadena,California,91104,West,Office Supplies,Storage,56.56,2,0,15.2712
Standard Class,Home Office,United States,Pasadena,California,91104,West,Office Supplies,Art,5.56,2,0,1.4456
Standard Class,Home Office,United States,Pasadena,California,91104,West,Office Supplies,Fasteners,9.02,2,0,3.5178
Standard Class,Home Office,United States,Pasadena,California,91104,West,Office Supplies,Appliances,8.62,1,0,2.2412
Standard Class,Home Office,United States,Pasadena,California,91104,West,Technology,Phones,659976,3,0.2,49.4982
Second Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,13.36,2,0,6.4128
Second Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,41.72,5,0.2,13.0375
Second Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,11.52,5,0.2,4176
Second Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Appliances,541.44,6,0,157.0176
Second Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,19.44,3,0,9.3312
Second Class,Home Office,United States,San Diego,California,92105,West,Office Supplies,Paper,143.7,3,0,68976
First Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Appliances,43.26,3,0,14.2758
First Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Appliances,43.56,2,0,15246
Standard Class,Corporate,United States,Bangor,Maine,4401,East,Technology,Phones,437.85,3,0,131355
Standard Class,Corporate,United States,Bangor,Maine,4401,East,Furniture,Furnishings,109.48,2,0,33.9388
First Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Chairs,1212.96,7,0.2,90972
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,18.54,2,0,8.7138
Second Class,Home Office,United States,San Diego,California,92024,West,Office Supplies,Fasteners,5,1,0,2.4
Second Class,Home Office,United States,San Diego,California,92024,West,Technology,Accessories,371.97,3,0,66.9546
Same Day,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,166.24,1,0,24936
First Class,Consumer,United States,Arlington,Virginia,22204,South,Furniture,Bookcases,359.97,3,0,79.1934
Second Class,Consumer,United States,Atlanta,Georgia,30318,South,Technology,Accessories,499.98,2,0,114.9954
Second Class,Consumer,United States,Atlanta,Georgia,30318,South,Office Supplies,Paper,5.28,1,0,2376
Second Class,Consumer,United States,Atlanta,Georgia,30318,South,Office Supplies,Binders,8.26,2,0,3.8822
Same Day,Home Office,United States,Monroe,North Carolina,28110,South,Office Supplies,Paper,7968,2,0.2,2.6892
